item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,gmv,apparel_rn,gender_rn,fop_rn
abercrombie_and_fitch_womens_jeans_curve love high rise 90s relaxed jean,abercrombie_and_fitch,womens > jeans,Apparel,Bottoms,null,Women's,null,null,26128428,1,6,2
abercrombie_and_fitch_women's_clearance_bottoms_jeans_abercrombie & fitch_high rise 90s relaxed jean,abercrombie_and_fitch,women's > clearance > bottoms > jeans,Apparel,Bottoms,Baselayer Bottoms,Women's,null,null,9082620,1,49,19
abercrombie_and_fitch_women's_clearance_bottoms_sweatpants_&_leggings_abercrombie & fitch_essential sunday sweatpant,abercrombie_and_fitch,women's > clearance > bottoms > sweatpants_&_leggings,Apparel,Bottoms,Fleece Bottoms,Women's,training,null,10573256,1,34,17
abercrombie_and_fitch_women's_bottoms_jeans_relaxed_jeans_abercrombie & fitch_high rise 90s relaxed jean,abercrombie_and_fitch,women's > bottoms > jeans > relaxed_jeans,Apparel,Bottoms,Other Bottoms,Women's,null,null,42063436,1,2,1
abercrombie_and_fitch_women's_bottoms_jeans_relaxed_jeans_abercrombie & fitch_curve love high rise 90s relaxed jean,abercrombie_and_fitch,women's > bottoms > jeans > relaxed_jeans,Apparel,Bottoms,Pants,Women's,sportswear,null,44478131,1,1,1
abercrombie_and_fitch_women's_bottoms_shorts_denim_shorts_abercrombie & fitch_curve love high rise dad short,abercrombie_and_fitch,women's > bottoms > shorts > denim_shorts,Apparel,Bottoms,Shorts,Women's,cheer_dance,null,12106590,1,27,3
abercrombie_and_fitch_women's_bottoms_skirts_the_a&f_scarlett_mini_skort_abercrombie & fitch_the a&f scarlett mini skort,abercrombie_and_fitch,women's > bottoms > skirts > the_a&f_scarlett_mini_skort,Apparel,Bottoms,Skirts,Women's,cheer_dance,null,4309132,1,113,10
abercrombie_and_fitch_women's_clearance_intimates_&_sleepwear_next_to_naked_triangle_bralette_abercrombie & fitch_next to naked triangle bralette,abercrombie_and_fitch,women's > clearance > intimates_&_sleepwear > next_to_naked_triangle_bralette,Apparel,Bras,null,Women's,rugby,null,744698,1,1398,10
abercrombie_and_fitch_women's_clearance_dresses_&_jumpsuits_traveler_mini_dress_abercrombie & fitch_traveler mini dress,abercrombie_and_fitch,women's > clearance > dresses_&_jumpsuits > traveler_mini_dress,Apparel,Dresses,null,Women's,sportswear,null,8492274,1,54,29
abercrombie_and_fitch_women's_clearance_coats_&_jackets_wool-blend_dad_coat_abercrombie & fitch_wool-blend dad coat,abercrombie_and_fitch,women's > clearance > coats_&_jackets > wool-blend_dad_coat,Apparel,Jackets & Outerwear,null,Men's,sportswear,null,14466208,1,5,5
abercrombie_and_fitch_men's_tops_hoodies_&_sweatshirts_pullover_hoodies_abercrombie & fitch_essential popover hoodie,abercrombie_and_fitch,men's > tops > hoodies_&_sweatshirts > pullover_hoodies,Apparel,Tops,null,Men's,training,null,75229425,1,1,1
abercrombie_and_fitch_womens_dresses_puff sleeve tie-front mini dress,abercrombie_and_fitch,womens > dresses,Apparel,Track Suits,null,Women's,sportswear,null,527902,1,2030,1131
abercrombie_and_fitch_boys_clearance_underwear_&_socks_a&f_boxer_briefs_abercrombie kids_a&f boxer briefs,abercrombie_and_fitch,boys > clearance > underwear_&_socks > a&f_boxer_briefs,Apparel,Underwear,null,Kids,sportswear,null,9387715,1,7,22
abercrombie_and_fitch_women's_clearance_shoes_vivianne_leather_ankle_boots_abercrombie & fitch_vivianne leather ankle boots,abercrombie_and_fitch,women's > clearance > shoes > vivianne_leather_ankle_boots,Footwear,null,null,Women's,walking,null,541180,1,1979,1
academy_sports_kids_boys apparel_boys shorts_adidas_adidas boys’ aeroready elastic waistband big logo shorts,academy_sports,kids > boys apparel > boys shorts,Apparel,Bottoms,Baselayer Bottoms,Kids,basketball,null,9133329,1,23,34
