item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,gmv,apparel_rn,gender_rn,fop_rn
dicks_sporting_goods_shoes_men's shoes_athletic shoes_men's lifestyle sneakers_sneakers_yeezy_yeezy boost 350 v2 cloud white,dicks_sporting_goods,shoes > men's shoes > athletic shoes > men's lifestyle sneakers > sneakers,Footwear,null,null,Men's,sportswear,sportswear_running,5302330.0,64,149,1
kohls_mens_kids_active_footwear_nike_nike revolution 5 toddler sneakers,kohls,mens > kids > active > footwear,Footwear,null,null,Men's,tennis,outdoor_soccer,4188291.0,45,231,1
nordstrom_shoes_sandals_women_eurosoft_sp wmns ut: bonelle:black sheep na,nordstrom,shoes > sandals > women,Footwear,null,null,Women's,lacrosse,training_other,965687.0,172,286,1
foot_locker_clothing_jackets_jackets_lckr_lckr varsity jacket - men's,foot_locker,clothing > jackets > jackets,Apparel,Jackets & Outerwear,null,Men's,tennis,null,762121.0,2,318,37
kohls_mens_clothing_tops_tops & tees_tommy hilfiger_tommy hilfiger_men's tommy hilfiger logo quarter-zip top,kohls,mens > clothing > tops > tops & tees > tommy hilfiger,Apparel,Tops,null,Men's,rugby,null,1.0182647E7,51,91,1
macys_shoes_sneakers & athletic shoes_general_nike kids_cosmic runner (big kid),macys,shoes > sneakers & athletic shoes > general,Footwear,null,null,Kids,tennis,outdoor_soccer,854699.0,181,68,2
nordstrom_women_bras & bralettes____true & co. true body triangle convertible strap bralette,nordstrom,women > bras & bralettes >  >  > ,Apparel,Bras,null,Women's,sportswear,null,2686086.0,2,64,4
nordstrom_clothing_sweatshirts & hoodies_alo_alo alosoft visionary hooded pullover,nordstrom,clothing > sweatshirts & hoodies,Apparel,Tops,Other Bottoms,Men's,basketball,null,31972.0,1,9071,2492
nike_women_apparel_lifestyle_nike_nike sportswear gym vintage women's full-zip hoodie,nike,women > apparel > lifestyle,Apparel,Jackets & Outerwear,null,Women's,gymnastics,null,2234681.0,14,235,1
kids_foot_locker_shoes_casual sneakers_casual basketball sneakers_jordan_jordan retro 12 - boys' preschool,kids_foot_locker,shoes > casual sneakers > casual basketball sneakers,Apparel,Bottoms,Pants,Kids,sportswear,null,4863647.0,1,26,2
"amazon_clothing, shoes & jewelry_men's clothing, shoes & jewelry_men's shoes_men's athletic shoes_men's walking shoes_rockport_rockport men's eureka walking shoe",amazon_leia,"clothing, shoes & jewelry > men's clothing, shoes & jewelry > men's shoes > men's athletic shoes > men's walking shoes",Footwear,null,null,Men's,walking,null,1.8943516E7,13,49,2
scheels_sneakers & athletic shoes_brooks_men's brooks beast gts 24 running shoes,scheels,sneakers & athletic shoes,Footwear,null,null,Men's,running,road_running,3899321.0,10,26,1
nordstrom_men_shoes_good man brand_good man brand edge sneaker (men),nordstrom,men > shoes,Apparel,Other Apparel,null,Men's,lacrosse,null,2356921.0,28,37,1
macys_apparel & accessories_clothing_uniforms_unknown product,macys,apparel & accessories > clothing > uniforms,Apparel,Other Apparel,null,Men's,volleyball,null,5114790.0,16,79,2
academy_sports_apparel_mens apparel_mens shorts_mens athletic shorts_adidas m short,academy_sports,apparel > mens apparel > mens shorts > mens athletic shorts,Apparel,Bottoms,Shorts,Men's,volleyball,null,894741.0,75,448,2
"target_clothing, shoes & accessories_toddler clothing_toddler girls' clothing_bottoms_cat & jack_toddler girls' solid cozy lined leggings - cat & jack",target,"clothing, shoes & accessories > toddler clothing > toddler girls' clothing > bottoms",Apparel,Bottoms,Baselayer Bottoms,Women's,sportswear,null,2.0116384E7,1,56,32
foot_locker_shoes_casual sneakers_casual sneakers_vans_vans authentic - men's,foot_locker,shoes > casual sneakers > casual sneakers,Footwear,null,null,Men's,sportswear,sportswear_skateboarding,1757278.0,137,161,2
nordstrom_shoes_booties_c&c california_wmns dsnr :cc brave combat boot,nordstrom,shoes > booties,Footwear,null,null,Women's,boxing,null,294668.0,766,1307,1
champs_sports_shoes_casual sneakers_skate shoes_vans_vans lowland cc - men's,champs_sports,shoes > casual sneakers > skate shoes,Footwear,null,null,Men's,sportswear,sportswear_skateboarding,259832.0,260,360,2
abercrombie_and_fitch_men's_tops_shirts_short-sleeve_shirts_abercrombie & fitch_jacquard pattern button-through sweater polo,abercrombie_and_fitch,men's > tops > shirts > short-sleeve_shirts,Apparel,Tops,null,Men's,lacrosse,null,997591.0,135,107,1
nike_unisex_footwear_basketball_nike_kobe viii protro basketball shoes,nike,unisex > footwear > basketball,Footwear,null,null,Men's,basketball,signature_basketball,3.7224554E7,17,20,1
nike_kids_footwear_basketball_nike_kobe 6 protro basketball shoes,nike,kids > footwear > basketball,Footwear,null,null,Men's,basketball,cross_training,2.9234203E7,24,27,2
"amazon_clothing, shoes & jewelry_men's clothing, shoes & jewelry_men's shoes_men's slippers_ugg_ugg men's ascot slipper",amazon_leia,"clothing, shoes & jewelry > men's clothing, shoes & jewelry > men's shoes > men's slippers",Footwear,null,null,Men's,slides,null,2.865977E7,8,23,2
kids_foot_locker_shoes_casual sneakers_casual running sneakers_new balance_new balance 327 - boys' preschool,kids_foot_locker,shoes > casual sneakers > casual running sneakers,Footwear,null,null,Kids,sportswear,sportswear_running,605628.0,69,80,2
kohls_wmns_active_footwear_fila_fila memory frame v6 women's shoes,kohls,wmns > active > footwear,Footwear,null,null,Women's,volleyball,cross_training,359893.0,402,3217,2
champs_sports_accessories_hats_hats_new era_new era mlb 59fifty world series side patch cap - men's,champs_sports,accessories > hats > hats,Apparel,Other Apparel,null,Men's,baseball,null,1340846.0,57,86,1
kohls_boys_accessories_hats_47 brand_47 brand_youth '47 purple minnesota vikings logo clean up adjustable hat,kohls,boys > accessories > hats > 47 brand,Apparel,Other Apparel,null,Kids,american_football,null,7.1200577E7,1,1,1
foot_locker_clothing_skirts & dresses_skirts & dresses_nike_nike air dress - women's,foot_locker,clothing > skirts & dresses > skirts & dresses,Apparel,Dresses,null,Women's,null,null,180900.0,2,189,793
"lululemon_women's clothes_shorts_lululemon_hotty hot high-rise lined short 2.5"", black",lululemon,women's clothes > shorts,Apparel,Bottoms,Baselayer Bottoms,Women's,tennis,null,6.5334708E7,1,2,1
on_on running_shoes_on_cloud x 4 ad,on,On Running > shoes,Footwear,null,null,Women's,tennis,outdoor_soccer,4327767.0,11,13,2
"amazon_clothing, shoes & jewelry_women_women's clothing_women's activewear_women's athletic clothing sets_rubzoof_rubzoof sweatsuits for women sets 2 piece outfits casual lounge sets two piece sweat suits s-3xl",amazon_leia,"clothing, shoes & jewelry > women > women's clothing > women's activewear > women's athletic clothing sets",Apparel,Track Suits,null,Women's,cheer_dance,null,4427021.0,2,766,97
"lululemon_men's clothes_pants_joggers_lululemon_city sweat jogger, grey sage",lululemon,men's clothes > pants > joggers,Apparel,Bottoms,Fleece Bottoms,Men's,training,null,1.2516174E7,1,18,30
macys_men_finish line men's shoes_skechers_men's skech-lite pro - clear rush casual sneakers from finish line,macys,men > finish line men's shoes,Footwear,null,null,Men's,cricket,cross_training,157863.0,957,2589,2
