item_key,merchant,web_categories,l1,l2,l3,gender,primary_fop,sub_sport,gmv,apparel_rn,apparel_l1_rn,gender_rn,fop_rn
academy_sports_kids_boys apparel_boys shorts_adidas_adidas boys’ aeroready elastic waistband big logo shorts,academy_sports,kids > boys apparel > boys shorts,Apparel,Bottoms,Baselayer Bottoms,Kids,basketball,null,9123810.0,1,161,30,34
academy_sports_brands_bcg_bcg womens_bcg womens clothing_bcg_bcg women's run mesh pieced shorts,academy_sports,brands > bcg > bcg womens > bcg womens clothing,Apparel,Bottoms,Baselayer Bottoms,Women's,tennis,null,7104197.0,2,232,68,14
academy_sports_women's_women's clothing_women's trending_top back to school brands_women's under armour clothing_under armour_under armour women's heatgear® armour hi-rise leggings,academy_sports,women's > women's clothing > women's trending > top back to school brands > women's under armour clothing,Apparel,Bottoms,Baselayer Bottoms,Women's,field_hockey,null,5883106.0,3,312,100,3
academy_sports_kids_girls apparel_girls shorts_soffe_soffe girls' core essentials authentic short,academy_sports,kids > girls apparel > girls shorts,Apparel,Bottoms,Baselayer Bottoms,Kids,soccer,null,5163922.0,4,377,72,21
academy_sports_women's_women's clothing_women's trending_top back to school brands_women's under armour clothing_under armour_under armour women's heatgear armour mid rise shorty shorts,academy_sports,women's > women's clothing > women's trending > top back to school brands > women's under armour clothing,Apparel,Bottoms,Baselayer Bottoms,Women's,basketball,null,4860497.0,5,402,130,83
academy_sports_men's_men's clothing_men's pants + jeans_men's sweatpants + joggers_nike_nike men's nike club joggers,academy_sports,men's > men's clothing > men's pants + jeans > men's sweatpants + joggers,Apparel,Bottoms,Baselayer Bottoms,Men's,basketball,null,3867973.0,6,546,407,117
academy_sports_women's_women's clothing_women's pants_bcg_bcg women’s cold weather leggings,academy_sports,women's > women's clothing > women's pants,Apparel,Bottoms,Baselayer Bottoms,Women's,hiking,null,3758950.0,7,575,190,80
academy_sports_men's_men's clothing_men's shorts_nike_nike men's dri-fit challenger brief lined running shorts 5 in,academy_sports,men's > men's clothing > men's shorts,Apparel,Bottoms,Baselayer Bottoms,Men's,running,null,3668117.0,8,595,440,41
academy_sports_men's_men's clothing_men's compression_men's compression pants_under armour_under armour men's cg armour leggings,academy_sports,men's > men's clothing > men's compression > men's compression pants,Apparel,Bottoms,Baselayer Bottoms,Men's,basketball,null,3627866.0,9,600,444,125
academy_sports_shops_storm recovery_clothing under 20_bcg_bcg women's athletic dolphin hem knit shorts,academy_sports,shops > storm recovery > clothing under 20,Apparel,Bottoms,Baselayer Bottoms,Women's,volleyball,null,3084544.0,10,725,241,6
academy_sports_kids_boys apparel_boys cold weather clothing_boys base layers thermals_bcg_bcg boys' cold weather baselayer tights,academy_sports,kids > boys apparel > boys cold weather clothing > boys base layers thermals,Apparel,Bottoms,Baselayer Bottoms,Kids,ski_snowboard,null,1260910.0,32,1888,381,6
academy_sports_outdoors_fishing_fishing shoes clothing_fishing shirts + t shirts_mens fishing shirts_magellan outdoors_magellan outdoors men's laguna madre solid short sleeve fishing shirt,academy_sports,outdoors > fishing > fishing shoes clothing > fishing shirts + t shirts > mens fishing shirts,Apparel,Tops,null,Men's,sportswear,null,1.51041507E8,1,1,1,1
academy_sports_shops_hoodies_mens hoodies and sweatshirts_mens hoodies_nike_nike men's sportswear club fleece pullover hoodie,academy_sports,shops > hoodies > mens hoodies and sweatshirts > mens hoodies,Apparel,Tops,null,Men's,training,null,1.28832008E8,2,2,2,1
academy_sports_kids_school uniforms_young adult school uniforms_young men's school uniforms_bcg_bcg men's coaches' polo shirt,academy_sports,kids > school uniforms > young adult school uniforms > young men's school uniforms,Apparel,Tops,null,Men's,basketball,null,6.3251391E7,3,5,4,2
academy_sports_men's_men's clothing_men's shirts + tops_nike_nike men's just do it t-shirt,academy_sports,men's > men's clothing > men's shirts + tops,Apparel,Tops,null,Men's,training,null,6.3074184E7,4,6,5,2
